number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.5175202156334232,2026-03-31 01:45:34.464607,2026-03-31 01:45:35.705666,0 days 00:00:01.241059,entropy,29,sqrt,5,12,250,COMPLETE
1,0.510752688172043,2026-03-31 01:45:35.705784,2026-03-31 01:45:37.160554,0 days 00:00:01.454770,entropy,23,sqrt,8,2,341,COMPLETE
2,0.5144429160935351,2026-03-31 01:45:37.160628,2026-03-31 01:45:38.069151,0 days 00:00:00.908523,entropy,18,sqrt,3,8,222,COMPLETE
3,0.5077720207253886,2026-03-31 01:45:38.069207,2026-03-31 01:45:39.282949,0 days 00:00:01.213742,gini,25,sqrt,5,4,282,COMPLETE
4,0.5178335535006605,2026-03-31 01:45:39.283000,2026-03-31 01:45:39.908259,0 days 00:00:00.625259,gini,29,sqrt,7,15,126,COMPLETE
5,0.49122807017543857,2026-03-31 01:45:39.908320,2026-03-31 01:45:40.427686,0 days 00:00:00.519366,entropy,17,log2,8,2,148,COMPLETE
6,0.4609571788413098,2026-03-31 01:45:40.427735,2026-03-31 01:45:41.645044,0 days 00:00:01.217309,entropy,9,sqrt,7,15,319,COMPLETE
7,0.44636251541307026,2026-03-31 01:45:41.645088,2026-03-31 01:45:42.147690,0 days 00:00:00.502602,gini,10,sqrt,3,2,135,COMPLETE
8,0.524300441826215,2026-03-31 01:45:42.147735,2026-03-31 01:45:42.851105,0 days 00:00:00.703370,gini,19,log2,7,3,212,COMPLETE
9,0.5046235138705416,2026-03-31 01:45:42.851152,2026-03-31 01:45:43.351055,0 days 00:00:00.499903,gini,26,sqrt,6,11,102,COMPLETE
10,0.5234248788368336,2026-03-31 01:45:43.351100,2026-03-31 01:45:44.761461,0 days 00:00:01.410361,gini,21,log2,1,6,446,COMPLETE
11,0.4732824427480916,2026-03-31 01:45:44.761508,2026-03-31 01:45:46.450034,0 days 00:00:01.688526,gini,17,sqrt,6,3,455,COMPLETE
12,0.5175718849840255,2026-03-31 01:45:46.450084,2026-03-31 01:45:47.410024,0 days 00:00:00.959940,entropy,16,log2,1,2,309,COMPLETE
13,0.45925925925925926,2026-03-31 01:45:47.410069,2026-03-31 01:45:49.042655,0 days 00:00:01.632586,gini,11,sqrt,7,7,463,COMPLETE
14,0.4973821989528796,2026-03-31 01:45:49.042702,2026-03-31 01:45:50.981037,0 days 00:00:01.938335,gini,26,sqrt,7,10,472,COMPLETE
15,0.5400981996726678,2026-03-31 01:45:50.981089,2026-03-31 01:45:52.432409,0 days 00:00:01.451320,entropy,28,log2,1,6,423,COMPLETE
16,0.4818181818181818,2026-03-31 01:45:52.432456,2026-03-31 01:45:52.828618,0 days 00:00:00.396162,gini,18,log2,2,7,102,COMPLETE
17,0.48621553884711777,2026-03-31 01:45:52.828664,2026-03-31 01:45:54.101664,0 days 00:00:01.273000,gini,23,sqrt,8,7,308,COMPLETE
18,0.46888567293777134,2026-03-31 01:45:54.101707,2026-03-31 01:45:54.757629,0 days 00:00:00.655922,gini,5,log2,5,10,214,COMPLETE
19,0.5084745762711864,2026-03-31 01:45:54.757670,2026-03-31 01:45:55.284773,0 days 00:00:00.527103,entropy,17,log2,2,15,158,COMPLETE
20,0.5128205128205128,2026-03-31 01:45:55.284820,2026-03-31 01:45:56.086835,0 days 00:00:00.802015,gini,21,log2,5,10,247,COMPLETE
21,0.5151915455746368,2026-03-31 01:45:56.086879,2026-03-31 01:45:56.769310,0 days 00:00:00.682431,gini,20,sqrt,1,11,116,COMPLETE
22,0.4794871794871795,2026-03-31 01:45:56.769354,2026-03-31 01:45:58.133541,0 days 00:00:01.364187,gini,15,sqrt,2,15,377,COMPLETE
23,0.535966149506347,2026-03-31 01:45:58.133580,2026-03-31 01:45:59.024326,0 days 00:00:00.890746,entropy,22,sqrt,5,13,203,COMPLETE
24,0.5213414634146342,2026-03-31 01:45:59.024369,2026-03-31 01:46:00.428756,0 days 00:00:01.404387,gini,21,log2,3,6,461,COMPLETE
25,0.46173800259403375,2026-03-31 01:46:00.428801,2026-03-31 01:46:01.583902,0 days 00:00:01.155101,entropy,7,sqrt,8,4,357,COMPLETE
26,0.44136191677175285,2026-03-31 01:46:01.583948,2026-03-31 01:46:01.993578,0 days 00:00:00.409630,gini,9,sqrt,6,9,102,COMPLETE
27,0.5229485396383866,2026-03-31 01:46:01.993683,2026-03-31 01:46:03.052928,0 days 00:00:01.059245,entropy,24,sqrt,7,11,230,COMPLETE
28,0.4420289855072464,2026-03-31 01:46:03.052971,2026-03-31 01:46:03.780682,0 days 00:00:00.727711,gini,11,sqrt,4,15,206,COMPLETE
29,0.46134969325153374,2026-03-31 01:46:03.780725,2026-03-31 01:46:04.999389,0 days 00:00:01.218664,gini,17,sqrt,6,4,331,COMPLETE
30,0.5353383458646617,2026-03-31 01:46:04.999434,2026-03-31 01:46:06.628434,0 days 00:00:01.629000,entropy,29,log2,3,14,477,COMPLETE
31,0.5213793103448275,2026-03-31 01:46:06.628478,2026-03-31 01:46:08.860857,0 days 00:00:02.232379,entropy,27,sqrt,4,6,486,COMPLETE
32,0.529886914378029,2026-03-31 01:46:08.860901,2026-03-31 01:46:10.377970,0 days 00:00:01.517069,entropy,23,log2,1,9,475,COMPLETE
33,0.5165745856353591,2026-03-31 01:46:10.378015,2026-03-31 01:46:12.332907,0 days 00:00:01.954892,entropy,24,sqrt,6,11,451,COMPLETE
34,0.5192307692307693,2026-03-31 01:46:12.332956,2026-03-31 01:46:14.453768,0 days 00:00:02.120812,entropy,28,sqrt,5,9,447,COMPLETE
35,0.4946524064171123,2026-03-31 01:46:14.453813,2026-03-31 01:46:16.073804,0 days 00:00:01.619991,entropy,13,sqrt,1,7,456,COMPLETE
36,0.5294964028776978,2026-03-31 01:46:16.073849,2026-03-31 01:46:17.058749,0 days 00:00:00.984900,entropy,20,sqrt,1,2,214,COMPLETE
37,0.4976958525345622,2026-03-31 01:46:17.058794,2026-03-31 01:46:18.253598,0 days 00:00:01.194804,entropy,10,log2,1,10,408,COMPLETE
38,0.5237449118046132,2026-03-31 01:46:18.253642,2026-03-31 01:46:20.153069,0 days 00:00:01.899427,gini,30,sqrt,3,9,391,COMPLETE
39,0.5065616797900262,2026-03-31 01:46:20.153117,2026-03-31 01:46:20.761715,0 days 00:00:00.608598,entropy,30,sqrt,6,13,110,COMPLETE
40,0.517426273458445,2026-03-31 01:46:20.761762,2026-03-31 01:46:22.184138,0 days 00:00:01.422376,entropy,23,sqrt,3,11,320,COMPLETE
41,0.5007776049766719,2026-03-31 01:46:22.184197,2026-03-31 01:46:23.022692,0 days 00:00:00.838495,gini,11,log2,7,6,268,COMPLETE
42,0.5261627906976745,2026-03-31 01:46:23.022737,2026-03-31 01:46:24.991117,0 days 00:00:01.968380,entropy,23,sqrt,1,8,443,COMPLETE
43,0.532695374800638,2026-03-31 01:46:24.991162,2026-03-31 01:46:25.948443,0 days 00:00:00.957281,entropy,21,log2,1,10,259,COMPLETE
44,0.4984894259818731,2026-03-31 01:46:25.948494,2026-03-31 01:46:27.045421,0 days 00:00:01.096927,gini,9,log2,6,2,364,COMPLETE
45,0.5,2026-03-31 01:46:27.045461,2026-03-31 01:46:28.074866,0 days 00:00:01.029405,gini,21,sqrt,5,8,255,COMPLETE
46,0.45768025078369906,2026-03-31 01:46:28.074909,2026-03-31 01:46:28.633448,0 days 00:00:00.558539,entropy,6,log2,1,3,178,COMPLETE
47,0.49002849002849,2026-03-31 01:46:28.633495,2026-03-31 01:46:29.870685,0 days 00:00:01.237190,entropy,5,log2,3,13,438,COMPLETE
48,0.5245398773006135,2026-03-31 01:46:29.870728,2026-03-31 01:46:31.140276,0 days 00:00:01.269548,gini,25,log2,2,5,394,COMPLETE
49,0.5158730158730159,2026-03-31 01:46:31.140325,2026-03-31 01:46:32.305867,0 days 00:00:01.165542,entropy,25,sqrt,8,6,249,COMPLETE
